Conjunto,MSE base,R2 base,MSE ajustado,R2 ajustado,Reduccion MSE (%)
Train,371060.8939610746,0.97642758056502,59898.496090051936,0.996194822746513,83.85750234937571
Validation,482457.578743504,0.9703076811684177,313037.63215884106,0.9807344446644387,35.11602968822553
Test,527360.1482555723,0.9669551647420632,345534.09996228555,0.9783485395189178,34.47853405205908
