n_estimators,max_depth,Train MSE,Train R2,Validation MSE,Validation R2
50,10,371060.8939610746,0.97642758056502,482457.578743504,0.9703076811684177
100,10,371267.865358297,0.9764144322740905,481280.62969561486,0.9703801151976841
200,10,369857.15291240107,0.9765040507329957,480572.6955920385,0.9704236842202081
