n_estimators,max_depth,Train MSE,Train R2,Validation MSE,Validation R2
100,18,60403.2244201444,0.9961627588236064,314550.43120293535,0.9806413411180869
100,20,49333.81998989843,0.9968659658938522,315764.74893461587,0.9805666072744487
100,22,45120.53395302641,0.9971336237022526,315675.4244362355,0.9805721046520467
50,18,62260.09196212598,0.996044797429002,317707.41593512736,0.9804470479794885
200,18,59898.496090051936,0.996194822746513,313037.63215884106,0.9807344446644387
